,sales,MoM,YoY
,Brooklyn,,
,Northwest Brooklyn,,
,All,,
2008-02,901271.3344070341,-0.013937174002884634,-0.007492527321180664
2008-03,908218.7543103492,0.007708466516230583,0.03703813131863454
2008-04,907693.329519844,-0.0005785222866314665,0.03424584926328644
2008-05,914165.5412971034,0.007130394778468885,0.047123623391563285
2008-06,910743.5468713256,-0.003743298419367602,0.053001943048732736
2008-07,917661.7990020053,0.007596268076173418,0.0534437807487389
2008-08,918126.9892752863,0.000506929975495396,0.026229964309292475
2008-09,905528.3187531877,-0.013722143744018811,-0.022210426804061045
2008-10,917889.0895459423,0.013650341504254593,-0.013011233480537232
2008-11,888864.8384777926,-0.031620651556613755,-0.0409539198147888
2008-12,865230.1125008326,-0.02658978615627894,-0.05623935239285893
2009-01,834869.0785624422,-0.03509012631406905,-0.08658654556398093
2009-02,822095.6026635986,-0.015299974842568398,-0.08784894040319935
2009-03,831565.176794474,0.01151882348013289,-0.0843999060271351
2009-04,781868.5338615663,-0.05976277545012021,-0.1386203815388145
2009-05,800390.7157822606,0.023689637219719284,-0.12445757401160451
2009-06,807294.3037464783,0.008625272417697172,-0.11358767622370336
2009-07,825345.5435478471,0.02236017239016408,-0.10059943168011998
2009-08,834016.0816633389,0.010505343105410736,-0.09161140952662705
2009-09,807802.7848608992,-0.03143020545858133,-0.10792101347735394
2009-10,788762.4640425423,-0.02357050653351689,-0.14067780843465072
2009-11,798390.9900768874,0.012207130122543264,-0.10178583344104863
2009-12,777269.5334919288,-0.026455028735888564,-0.10166148604637149
2010-01,774840.1911591134,-0.003125482510425215,-0.07190215681085266
2010-02,790357.683200176,0.020026699980352447,-0.03860611753741461
2010-03,775655.0395779266,-0.018602518751659414,-0.06723482268950987
2010-04,802498.600190866,0.03460760163119203,0.026385594810178548
2010-05,812838.2963307647,0.012884379034978188,0.015551880229318193
2010-06,804392.8975995028,-0.010390010866103694,-0.0035939881323461265
2010-07,785280.0588656806,-0.023760576194617578,-0.04854389170133544
2010-08,800455.5072493104,0.019324886977966083,-0.04023972097408035
2010-09,807637.1204056526,0.008971907984019145,-0.00020508032201838056
2010-10,803951.8690716266,-0.004563003904742513,0.0192572614969988
2010-11,775887.691732988,-0.034907782938605525,-0.02818581199386072
2010-12,739786.5796141808,-0.04652878567795471,-0.04822388150138035
