,sales,MoM,YoY
,Queens,,
,The Rockaways,,
,All,,
2008-06,572346.8833007836,-0.047603201139674534,-0.13190264024143394
2008-07,560383.0923349619,-0.02090304204475668,-0.1565715256866047
2008-08,541152.1134268873,-0.03431755734803554,-0.18904106225182304
2008-09,539519.7320562568,-0.00301649264620496,-0.20199159787269627
2008-10,527575.4588776177,-0.022138714247051272,-0.19679089570787234
2008-11,478163.5799259123,-0.09365841060315039,-0.2258092887819132
2008-12,532937.1997048673,0.1145499617253194,-0.13242363590279183
2009-01,512627.6771773338,-0.038108659967404535,-0.18573730193221494
2009-02,509445.6862089297,-0.006207216484925282,-0.18800176691167503
2009-03,500880.3798019096,-0.01681299231476341,-0.16017719466051183
2009-04,509885.1831595821,0.017977951863943575,-0.1412476500317934
2009-05,534957.8237173113,0.0491731107037916,-0.10981935308993063
2009-06,502745.9046481284,-0.060213941438128527,-0.12160628577421295
2009-07,529955.9152999076,0.0541227892663263,-0.054297100414419486
2009-08,496414.9458369012,-0.06329011243138061,-0.08267022613417241
2009-09,480558.0856309633,-0.03194275341409181,-0.10928543095277465
2009-10,491046.0361361706,0.021824521985592593,-0.0692401856962056
2009-11,456626.3119953133,-0.07009469908705757,-0.04504163184895016
2009-12,463499.1237423086,0.015051282780800035,-0.13029316775224642
2010-01,458369.0495928952,-0.011068142066791853,-0.10584412430323942
2010-02,459660.6588701257,0.002817837021015457,-0.09772391579028217
2010-03,439098.5447883575,-0.04473324763600861,-0.12334648651637314
2010-04,449758.5411889011,0.024277002342792287,-0.1179219243008729
2010-05,444192.3769593021,-0.012375894440793234,-0.1696684163385046
2010-06,459014.8288893229,0.03336944238324646,-0.08698444950916673
2010-07,422060.0039786465,-0.08050900011247109,-0.20359412586271763
2010-08,445250.128690294,0.05494508954423649,-0.10306864766198554
2010-09,452719.1742193687,0.016774942998994735,-0.05793037770874809
2010-10,462525.3357046674,0.021660583522240984,-0.05808152053506088
2010-11,460162.216305017,-0.005109167470902176,0.007743540432991969
2010-12,450208.0214159975,-0.021631925734687973,-0.028675571636464503
2011-01,482898.0775105097,0.07261100322401015,0.05351370896311658
2011-02,473629.5986109381,-0.019193447502117822,0.030389678714617174
2011-03,470348.4027307295,-0.006927767795407491,0.07116821112999627
2011-04,436567.6507739598,-0.07182070091159398,-0.029328826930272944
2011-05,438957.5759069793,0.00547435232267568,-0.011784986244377627
2011-06,473775.3045072882,0.07931911991350882,0.032156860059796344
2011-07,473244.3995960574,-0.0011205837581232947,0.12127279328746954
2011-08,456544.8240846025,-0.035287423423730035,0.025367079460553832
2011-09,461049.8022584693,0.009867548455728459,0.018401314796231416
2011-10,429540.7884016371,-0.06834188780145689,-0.07131403353889276
