,sales,MoM,YoY
,Brooklyn,,
,North Brooklyn,,
,All,,
2015-07,1055963.2085879226,-0.010969232670687723,0.08413339020811406
2015-08,1063535.918899076,0.007171377041895299,0.04613826927939657
2015-09,1066259.5505154203,0.002560921138576644,0.06098052994640968
2015-10,1094062.0772443956,0.0260748208215682,0.08603964132183983
2015-11,1117391.1798397794,0.021323381077372305,0.03031929637744235
2015-12,1121949.0747861501,0.0040790504065231215,0.007505569276619717
2016-01,1098131.2448716902,-0.02122897593992823,0.02365656203516031
2016-02,1060929.913538178,-0.033876944588585034,-0.03268804280808413
2016-03,1107005.2051211535,0.04342915681330495,0.04058441810258495
2016-04,1121388.470148333,0.0129929515784033,0.06768558581214101
2016-05,1134223.3050523202,0.011445484990842969,0.07695702944706118
2016-06,1080053.3419834797,-0.04775952215718382,0.011593942753893804
2016-07,1140004.4076586869,0.055507504439650246,0.07958724166455333
2016-08,1137616.303671887,-0.0020948199592530914,0.0696548028669266
2016-09,1102042.628152021,-0.03127036365868241,0.03355944396399879
2016-10,1081415.9082906514,-0.018716807621097065,-0.011558913535871795
2016-11,1112484.0098320283,0.028729096088927486,-0.004391631235584614
2016-12,1069897.5492213124,-0.03828051480681138,-0.04639383973355393
2017-01,1070835.0123968194,0.0008762177053207587,-0.024856985540066434
2017-02,1047025.948609671,-0.022234110307859045,-0.013105450936092056
2017-03,1089788.87510212,0.04084227955308384,-0.015552167179872733
2017-04,1087177.0735781342,-0.0023966123931491445,-0.0305080687744842
2017-05,1119719.6606717915,0.029933106468620352,-0.012787291810989254
2017-06,1111610.0024981857,-0.007242579065495969,0.02921768702345151
2017-07,1124947.315471009,0.01199819445925221,-0.013207924536539184
2017-08,1148339.1454861052,0.02079371157510823,0.009425710390760234
2017-09,1120841.9237555328,-0.02394520977418435,0.017058592039253195
2017-10,1093285.7666748357,-0.024585230527750523,0.01097621950369354
2017-11,1107540.9467512283,0.013038841729138051,-0.004443266633150422
2017-12,1140619.0023270198,0.029866214583596173,0.06610114506494535
2018-01,1177757.1278485858,0.032559623718173336,0.0998492897728902
2018-02,1125129.809080049,-0.04468435598829401,0.07459591672402266
2018-03,1264215.2887441227,0.12361727379509713,0.16005523420823864
2018-04,1342244.0346712554,0.06172109024614536,0.23461399922060622
2018-05,1324529.0096179163,-0.013198065773246559,0.18291127336573387
2018-06,1239285.95653287,-0.06435725640289014,0.11485678767530927
