,sales,MoM,YoY
,Brooklyn,,
,East Brooklyn,,
,All,,
1995-01,,,
1995-02,,,
1995-03,,,
1995-04,,,
1995-05,,,
1995-06,,,
1995-07,,,
1995-08,,,
1995-09,,,
1995-10,,,
1995-11,,,
1995-12,,,
1996-01,,,
1996-02,,,
1996-03,,,
1996-04,,,
1996-05,,,
1996-06,,,
1996-07,,,
1996-08,,,
1996-09,,,
1996-10,,,
1996-11,,,
1996-12,,,
1997-01,,,
1997-02,,,
1997-03,,,
1997-04,,,
1997-05,,,
1997-06,,,
1997-07,,,
1997-08,,,
1997-09,,,
1997-10,,,
1997-11,,,
1997-12,,,
1998-01,,,
1998-02,,,
1998-03,,,
1998-04,,,
1998-05,,,
1998-06,,,
1998-07,,,
1998-08,,,
1998-09,,,
1998-10,,,
1998-11,,,
1998-12,,,
1999-01,,,
1999-02,,,
1999-03,,,
1999-04,,,
1999-05,,,
1999-06,,,
1999-07,,,
1999-08,,,
1999-09,,,
1999-10,,,
1999-11,,,
1999-12,,,
2000-01,,,
2000-02,,,
2000-03,,,
2000-04,,,
2000-05,,,
2000-06,,,
2000-07,,,
2000-08,,,
2000-09,,,
2000-10,,,
2000-11,,,
2000-12,,,
2001-01,,,
2001-02,,,
2001-03,,,
2001-04,,,
2001-05,,,
2001-06,,,
2001-07,,,
2001-08,,,
2001-09,,,
2001-10,,,
2001-11,,,
2001-12,,,
2002-01,,,
2002-02,,,
2002-03,,,
2002-04,,,
2002-05,,,
2002-06,,,
2002-07,,,
2002-08,,,
2002-09,,,
2002-10,,,
2002-11,,,
2002-12,,,
2003-01,,,
2003-02,,,
2003-03,,,
2003-04,,,
2003-05,,,
2003-06,,,
2003-07,,,
2003-08,,,
2003-09,,,
2003-10,,,
2003-11,,,
2003-12,,,
2004-01,,,
2004-02,,,
2004-03,,,
2004-04,,,
2004-05,,,
2004-06,,,
2004-07,,,
2004-08,,,
2004-09,,,
2004-10,,,
2004-11,,,
2004-12,,,
2005-01,796329.5964697332,,
2005-02,888510.8456507175,0.1157576581225157,
2005-03,955858.5295480014,0.07579838133316263,
2005-04,943601.4059552737,-0.012823156580005324,
2005-05,909985.9216043288,-0.0356246653923894,
2005-06,982198.5018987547,0.07935571153355125,
2005-07,954454.9878970591,-0.028246341190770297,
2005-08,953139.7270015908,-0.0013780229682346379,
2005-09,973970.049565407,0.02185442697824036,
2005-10,954490.030188236,-0.020000634912606507,
2005-11,916972.9446252792,-0.03930589568919651,
2005-12,911822.0719660075,-0.00561725696430071,
2006-01,945886.5994088491,0.037358744090712825,0.18780791722689716
2006-02,937028.4151268826,-0.009364953777231455,0.0546054893011827
2006-03,913413.9612414007,-0.025201427730752735,-0.04440465507659541
2006-04,921909.7597460048,0.00930114807207194,-0.02298814528292148
2006-05,953460.7208973398,0.034223481005372536,0.04777524383713949
2006-06,941578.6229166875,-0.012462073916867267,-0.041356079146467994
2006-07,979582.7041636457,0.04036209013458114,0.026326769292651875
2006-08,985720.6661841589,0.006265894645162806,0.034182752286552986
2006-09,994094.5567639049,0.008495196323885956,0.020662347068554743
2006-10,999906.0015890854,0.0058459678565172535,0.04758139945358342
2006-11,975999.4086642292,-0.023908840317852897,0.0643709984955676
2006-12,943035.6620229861,-0.033774351038140416,0.034232106259149964
2007-01,941877.3904291596,-0.001228237319617076,-0.004238572554252418
2007-02,931754.3158635541,-0.010747762573420472,-0.005628537169403036
2007-03,898127.9322675831,-0.03608932421719557,-0.01673505072447401
2007-04,885993.0699205037,-0.013511284875019403,-0.03895900813046671
2007-05,871334.1174690867,-0.0165452224730519,-0.08613527713124924
2007-06,873323.202533382,0.0022828040638107616,-0.07249040995840972
2007-07,857161.0671069077,-0.018506476616664158,-0.12497325293351313
2007-08,852050.0874057596,-0.0059626829743897325,-0.13560695576755422
2007-09,814582.1907345199,-0.04397381940927725,-0.18057876366786985
2007-10,791509.547433071,-0.028324512325323514,-0.20841604493304733
2007-11,806126.433224755,0.018467099783050944,-0.17405028520659194
2007-12,808490.1761263424,0.002932223537357226,-0.14267274432444976
2008-01,784327.075617729,-0.029886696489478948,-0.1672726369826586
2008-02,749512.0424597567,-0.04438841172294383,-0.1955904794869605
2008-03,747773.5967706955,-0.002319436634207972,-0.16740859525131868
2008-04,721651.535891404,-0.03493311477177208,-0.1854885095702219
2008-05,723017.4609996474,0.0018927765553165,-0.17021789173164248
2008-06,692269.7312102478,-0.042526953286698754,-0.20731553999472896
2008-07,694822.9256979035,0.003688149824479625,-0.18939047471781278
2008-08,674345.3728996381,-0.02947161361680317,-0.20856134766346868
2008-09,681352.4810047586,0.01039097825345836,-0.16355588330457627
2008-10,665259.3973504027,-0.023619322014684974,-0.15950553027706071
2008-11,635868.4010646064,-0.04417975364625415,-0.21120512259976865
2008-12,660982.1276103454,0.039495163627713215,-0.18244878277030052
2009-01,658095.1670979279,-0.004367683166948466,-0.16094294388649277
2009-02,645854.1497844426,-0.018600679545278775,-0.1383005032649356
2009-03,647998.8655538643,0.0033207431896775663,-0.133429064154865
2009-04,625974.8633901295,-0.03398771716198945,-0.13258015502328557
2009-05,613688.7409251363,-0.019627181830360718,-0.15121172858446974
2009-06,601256.1159830805,-0.020258844774166174,-0.13147131981063864
2009-07,583995.0666893123,-0.028708313869781676,-0.15950518457241736
2009-08,597502.7409705976,0.023129774636386324,-0.11395144834852589
2009-09,576997.9944938009,-0.03431740989754839,-0.15315785796665926
2009-10,586170.0910155233,0.015896236398133423,-0.11888491414007307
2009-11,569346.5679803271,-0.02870075306307418,-0.10461572390278362
