,sales,MoM,YoY
,Queens,,
,Northeast Queens,,
,All,,
2015-06,506633.9356343527,-0.006726202935479986,0.012821624720361191
2015-07,517590.9406014516,0.02162706482221677,0.02146113971987451
2015-08,518758.8766941361,0.002256484805022607,0.043114472510906277
2015-09,529718.0873970864,0.02112582780807415,0.059713950860739384
2015-10,531963.5789897927,0.0042390313756135445,0.05167377617486579
2015-11,538415.645974369,0.012128775802337621,0.08411340756557006
2015-12,537417.4966515839,-0.0018538638879610492,0.08450365604871668
2016-01,534450.4979909504,-0.005520844928048829,0.061245014821146526
2016-02,532256.6403893551,-0.004104884568060352,0.05283625334917241
2016-03,538591.4828141065,0.011901857006644923,0.0646915611754244
2016-04,534328.3800161289,-0.007915280753611587,0.04971516471370885
2016-05,534782.0394410833,0.0008490273807668647,0.04845915276571411
2016-06,541502.7927233683,0.01256727561252613,0.06882455879185545
2016-07,543391.1064599177,0.003487172664526028,0.04984663338289064
2016-08,549623.5265570728,0.011469492273728843,0.05949710212117432
2016-09,548637.2610284905,-0.0017944383399313146,0.035715551500928644
2016-10,562987.1767481453,0.02615556167795452,0.05831902593269045
2016-11,573574.7463834622,0.018806058241808588,0.06530103772423979
2016-12,570811.5816852804,-0.004817444832786455,0.06213806815327105
2017-01,574189.2731438188,0.0059173492040334175,0.07435445434563204
2017-02,571346.3742273062,-0.004951152955099736,0.07344151462226245
2017-03,573973.3758607261,0.004597914245929591,0.06569337647478468
2017-04,577704.1580653497,0.006499922054797214,0.08117812879022357
2017-05,589800.4025405593,0.020938475699600723,0.10287997546996408
2017-06,584651.0719154495,-0.008730632605418953,0.0796824684413473
2017-07,574543.3271902762,-0.01728850798487025,0.057329279702991176
2017-08,574456.8770990508,-0.00015046748806257781,0.045182473715304816
2017-09,584667.1156810297,0.0177737250418859,0.06567154149354848
2017-10,594453.5980881135,0.016738554546007478,0.0558918970796467
2017-11,608982.1714887358,0.0244402144210234,0.061731143723684934
2017-12,622455.9293241673,0.022125044814519157,0.09047529744650706
2018-01,617364.9451985745,-0.008178866785188199,0.07519414603195007
2018-02,620551.6598832448,0.005161800503015845,0.08612163807372397
2018-03,616908.0993490537,-0.005871486243186563,0.07480263944985777
2018-04,610665.7571417069,-0.010118755474167962,0.057056191505944875
2018-05,612894.7997007185,0.0036501842995830813,0.03915629263845921
2018-06,611360.467477238,-0.002503418570739546,0.04568433522969961
