,sales,MoM,YoY
,Brooklyn,,
,South Brooklyn,,
,All,,
2012-02,525452.6992472652,-0.009458011453061577,-0.054613901361914574
2012-03,540153.3580582361,0.02797713063807694,-0.0009283496419546511
2012-04,530455.0980880221,-0.0179546416319204,-0.06848700107416705
2012-05,527885.8878040131,-0.004843407657442622,-0.02407348102987872
2012-06,532155.0432986151,0.008087269603590963,-0.045415232346317946
2012-07,533040.0975355661,0.0016631510836857544,-0.02327191165481035
2012-08,536090.712918977,0.005723050475030078,-0.014015268381645907
2012-09,525613.3082618932,-0.019544089096479644,-0.005646883120379087
2012-10,545582.6402121248,0.03799243975816835,0.03409918921527266
2012-11,547021.9427753838,0.0026381018331145256,0.03315186601343023
2012-12,524358.5041661488,-0.04143058410828859,-0.004024021797161548
2013-01,526698.7811485422,0.004463123919607126,-0.007108996125608891
2013-02,535691.6273372343,0.01707398329094656,0.019485917770784678
2013-03,532671.8191467233,-0.0056372137185000115,-0.01385076811964614
2013-04,533350.1630444309,0.0012734743482285538,0.005457700315905756
2013-05,552938.4505885137,0.03672688020243653,0.04745829233798693
2013-06,534926.7905452164,-0.03257443938674698,0.005208533267711424
2013-07,529751.7003039254,-0.00967438971605128,-0.0061691367063079205
2013-08,529934.6988312082,0.00034544207631181933,-0.01148315749446538
2013-09,534227.4736963625,0.008100573286901502,0.01638878867613669
2013-10,537649.582368342,0.006405714495178794,-0.014540524677798428
2013-11,529760.5149454584,-0.014673251280382882,-0.03155527499015387
2013-12,523414.8588037443,-0.011978348636208613,-0.001799618686274873
2014-01,553434.2798378256,0.05735301650146152,0.050760509889509864
2014-02,552592.6998532468,-0.001520650265511847,0.031550003124041215
2014-03,553817.406810533,0.002216292320929014,0.03969721487741262
2014-04,557172.1825961968,0.006057548470684848,0.04466487722772361
2014-05,548886.9634985825,-0.014870123377316746,-0.007327193624569128
2014-06,544755.6887153568,-0.007526640379456606,0.018374286619898816
2014-07,562527.4517054225,0.03262336375408048,0.06187002586814394
2014-08,562398.2095331304,-0.00022975264922675542,0.061259454747012665
2014-09,561443.9334183875,-0.0016967979246147458,0.050945451258266994
2014-10,569794.7128128877,0.014873754790894145,0.059788255210664776
2014-11,577550.866163941,0.013612189050971946,0.09021123671967679
2014-12,578550.7708728673,0.0017312842340062584,0.10533883618652928
2015-01,581885.6949984247,0.005764272201255416,0.051408841477865064
2015-02,604953.1655937799,0.03964261502496225,0.09475417564227429
2015-03,593186.5546112567,-0.019450449475661324,0.07108687324844642
2015-04,582557.440611719,-0.017918669796053277,0.045560885500846915
2015-05,603365.3923198198,0.03571828330997051,0.09925254641501069
2015-06,594039.4865663946,-0.015456481051339344,0.09046954235073512
2015-07,589352.044701692,-0.007890791724631807,0.047685838113224355
2015-08,599632.5981308281,0.017443824148162257,0.06620644939216191
2015-09,606763.8306104848,0.011892669781272902,0.0807202544983685
2015-10,611042.5700982789,0.007051737878787323,0.07239073364118132
2015-11,627492.9225344708,0.026921778025295495,0.08647213483072402
2015-12,632317.5021154075,0.00768865975643207,0.09293347092325455
2016-01,631246.1012692446,-0.0016944032745868087,0.08482835494169261
2016-02,611676.0135234019,-0.03100231067802739,0.011113005620895233
2016-03,628893.9946487102,0.028148857801581162,0.060195969985958886
2016-04,633158.1453839511,0.0067803966511443825,0.0868595974314541
2016-05,621157.7744699601,-0.018953196766842373,0.02948856924281351
2016-06,618716.035991789,-0.003930947302808407,0.04154025108335335
2016-07,631079.9765368045,0.019983223038976705,0.07080306619829169
2016-08,634469.7345168077,0.005371360375915124,0.05809746917458081
2016-09,629603.2340937303,-0.0076701852875354914,0.037641339728945455
2016-10,623783.3117660511,-0.009243793571131476,0.02085082495270818
2016-11,627111.3220072738,0.005335202430793551,-0.0006081351892475162
2016-12,616589.0855860338,-0.01677889722603032,-0.024874238775226987
2017-01,631841.8378862893,0.024737305049372882,0.0009437470042934493
2017-02,629000.7469030702,-0.004496522409347614,0.028323381981048446
2017-03,634223.4547509095,0.008303182267356046,0.008474337722331304
2017-04,641401.4533260491,0.011317775338281821,0.01301935069807758
2017-05,645708.2524711329,0.006714670075582907,0.039523739394748736
2017-06,660811.6189406567,0.023390387859723027,0.06803700001308255
2017-07,679655.8339852368,0.02851677316871215,0.07697258549542885
2017-08,680114.3342409045,0.0006746065180949223,0.07194133500923927
2017-09,682525.2731655298,0.003544902383679549,0.08405617412047928
2017-10,675527.6924273722,-0.010252485897999208,0.08295249277320793
2017-11,665166.9703981543,-0.015337227689347088,0.06068403974763381
2017-12,650955.7822388927,-0.021364843402785105,0.05573679044317714
2018-01,680457.4880242987,0.045320598710926197,0.07694275247844318
2018-02,683805.3584803758,0.004920028826191025,0.08712964467393713
2018-03,679431.4151253863,-0.0063964742316582335,0.0712808081060834
2018-04,690827.7116960746,0.016773284715698722,0.07705978543347669
2018-05,703250.4950132533,0.01798246235183454,0.08911492507940788
2018-06,679778.4804444289,-0.033376463628912334,0.028702372900430984
