,sales,MoM,YoY
,Queens,,
,Northwest Queens,,
,All,,
2011-11,546149.045126191,0.021972332417098173,-0.013422076828786933
2011-12,543591.2755080097,-0.004683281314884047,-0.00801526275290565
2012-01,555350.7158654314,0.021632871768282103,-0.043344269796778856
2012-02,528535.5017339801,-0.04828518873818988,-0.040541931671956744
2012-03,528472.8021507778,-0.00011862889625513517,-0.06412041287070347
2012-04,536251.6787539711,0.014719540100332384,-0.028162230637358454
2012-05,527866.6080378485,-0.015636446557344308,-0.03196406244882399
2012-06,527286.0367879699,-0.001099844621800683,-0.010821736410660754
2012-07,543354.0778409543,0.03047310175491269,0.027501047126439415
2012-08,526397.1304887388,-0.031207914035714657,-0.02487378152233477
2012-09,544266.1232289836,0.03394583994721656,-0.02923168605482096
2012-10,547891.9773626678,0.0066619140507460095,0.02523376542490574
2012-11,541315.7351323059,-0.012002808038944601,-0.00884980031919369
2012-12,538254.1155750648,-0.0056558850196600785,-0.009818332584453526
2013-01,534523.3820884386,-0.00693117503177898,-0.03750302859434773
2013-02,562748.8762159486,0.05280497556015229,0.06473240561839977
2013-03,547458.497286945,-0.027170874212703144,0.035925586064030623
2013-04,564686.8567947682,0.031469708833093746,0.05302580703685411
2013-05,563410.4526705625,-0.002260375124455205,0.06733489880111065
2013-06,556933.5330069788,-0.011495916756395275,0.05622659078857928
2013-07,560768.8280547546,0.006886450214388162,0.03205046382093757
2013-08,572557.7456368401,0.021022776217750838,0.08769161622374932
2013-09,592020.9848081776,0.0339934955376231,0.08774174901035048
2013-10,583069.5231588128,-0.015120176275956076,0.0642052580610426
2013-11,582348.7712294589,-0.0012361337726061183,0.0758024077890953
2013-12,585448.0778427412,0.005322079768004029,0.08767970536974867
2014-01,593540.1712725539,0.013822051409973835,0.11041011705330916
2014-02,599210.0826856176,0.009552700368885558,0.06479125594144675
2014-03,600926.5061287786,0.002864476905108271,0.0976658671055548
2014-04,602620.2977129307,0.0028186335048918654,0.0671760648609343
2014-05,626391.4323410485,0.039446289343943786,0.11178525242468695
2014-06,627050.8669370986,0.001052751621435144,0.1258989264868724
2014-07,613598.4767638351,-0.021453427277715487,0.09420931775459174
2014-08,610726.3325678805,-0.004680820283489706,0.06666329679740257
2014-09,629483.0471190597,0.030712143149803417,0.06327826761583522
2014-10,625736.7290474714,-0.0059514201196266825,0.0731768754736255
2014-11,648534.1782936758,0.03643297282693925,0.11365252291077366
2014-12,676614.1797148664,0.04329764314823081,0.15572021725317486
2015-01,683327.3647968587,0.009921732773648495,0.15127399604950176
2015-02,685903.2269584853,0.0037695873081160514,0.14467904792975972
2015-03,687819.4734355216,0.00279375632264256,0.14459832678461004
2015-04,690338.4772843408,0.0036623037673493286,0.1455612761540206
2015-05,719157.045966139,0.041745563415739095,0.14809527850403725
2015-06,716124.5108723497,-0.00421679118740359,0.14205170366854203
2015-07,742279.9171453521,0.036523545662668466,0.20971603622647939
2015-08,762334.4429697058,0.027017470581016223,0.248242301530325
2015-09,742622.2257993269,-0.025857702419411988,0.1797334800326531
2015-10,742356.0198543627,-0.0003584675164787221,0.18637117719526408
2015-11,727088.6543711053,-0.02056609642130014,0.12112619304677219
2015-12,746690.8434408839,0.026959833511270404,0.1035696055846016
2016-01,719014.5060645305,-0.0370653231112571,0.05222554094300147
2016-02,760218.0853235561,0.057305630013711584,0.10834598153825081
2016-03,731432.084277609,-0.037865451508819925,0.06340706032100418
